,순위,영화명,개봉일,매출액,관객수,스크린수,배급사,coach,actor_main_name,actor_sub_name,actor_cameo_name,maker,only_gener,genre_one,year
117,118,남한산성,2017.10.3,"31,225,083,792",3849087,"1,229",씨제이이엔엠,황동혁,"['이병헌', '김윤석', '박해일', '고수', '박희순', '조우진']","['허성태', '곽자형', '박지일']",,['싸이런픽쳐스']," 사극, 드라마 ",사극,2017
118,119,반도,2020.7.15,"33,072,531,280",3812250,"2,575",넥스트엔터테인먼트월드(NEW),연상호,"['강동원', '이정현']","['권해효', '김민재', '구교환', '김도윤', '이레', '이예원']",,['영화사레드피터']," 액션, 드라마 ",액션,2020
119,120,암수살인,2018.10.3,"32,995,138,548",3789321,"1,177",쇼박스,김태균,"['김윤석', '주지훈', '문정희', '진선규', '이유준']","['김종수', '권회수', '허진', '배해선', '이봉련', '정기섭', '원현준', '정종준']",,"['필름295 295', '블러썸픽쳐스']"," 범죄, 드라마 ",범죄,2018
120,121,쌍화점,2008.12.30,"25,616,489,949",3779553,499,쇼박스,유하,"['조인성', '주진모', '송지효', '임주환', '여욱환']","['심지호', '송중기', '노민우', '조강현', '김태수', '최승희', '이승구', '권태원']","['조진웅', '임현성']",['오퍼스픽쳐스'], 드라마 ,드라마,2008
121,122,국가부도의 날,2018.11.28,"30,891,765,837",3754983,"1,180",씨제이이엔엠,최국희,"['김혜수', '유아인', '허준호', '조우진', '뱅상카셀']","['김기현', '염혜란', '조한철', '엄효섭', '장성범', '동하', '박진주', '전배수', '김민상']",,['영화사 집'], 드라마 ,드라마,2018
122,123,신기전,2008.9.4,"24,314,570,667",3726134,585,씨제이이엔엠,김유진,"['정재영', '한은정', '허준호']","['안성기', '김명수', '신정근', '조원희', '이광희', '박윤희', '조주현', '최만수', '박보람', '박성배', '이승근', '이연우', '김진규', '이기오', '주부진', '이정인', '김용재', '김서현']",['김명국'],['시네마서비스글로벌']," 사극, 드라마, 액션, 전쟁 ",사극,2008
123,124,82년생 김지영,2019.10.23,"30,305,744,310",3679019,"1,486",롯데컬처웍스롯데엔터테인먼트,김도영,"['정유미', '공유', '김국희']","['김미경', '공민정', '박성연', '이봉련', '김성철', '이얼', '김미경', '손성찬', '강애심', '김정영', '류아영']","['예수정', '염혜란', '예수정', '염혜란']",['봄바람영화사'], 드라마 ,드라마,2019
124,125,친절한 금자씨,2005.7.29,0,3650000,127,씨제이이엔엠,박찬욱,"['이영애', '최민식']","['권예영', '김시후', '남일우', '김병옥', '오달수', '이승신', '김부선', '라미란', '최정우', '송강호)', '김유정']",['이대연'],['모호필름'], 스릴러 ,스릴러,2005
125,126,모가디슈,2021.7.28,"34,558,297,730",3613984,"1,688",롯데컬처웍스롯데엔터테인먼트,류승완,"['김윤석', '조인성', '허준호', '구교환', '김소진', '정만식']","['김재화', '박경혜', '박명신', '한철우', '주보비', '안세호', '이진희', '최경훈', '이화정', '정병두', '이나연', '김동화', '장지후', '유연석']",['윤경호'],"['덱스터스튜디오', '외유내강', '필름케이']"," 액션, 드라마 ",액션,2021
126,127,귀향,2016.2.24,"27,248,705,990",3586929,876,와우픽쳐스,조정래,"['손숙)', '강하나', '최리', '임성철', '정무성', '류신']","['서미지', '정인기', '오지혜', '김시은', '이민영', '이수현', '이승현', '윤정로']",,['주식회사 제이오엔터테인먼트코리아'], 드라마 ,드라마,2016
127,128,신의 한 수,2014.7.3,"28,810,921,456",3566336,794,쇼박스,조범구,"['정우성', '안성기', '이범수', '김인권', '이시영', '안길강', '최진혁']","['강다혜', '유재상', '유순철', '김명수', '안서현', '이용녀', '김소진']","['권태원', '최일화']","['메이스엔터테인먼트', '아지트필름']"," 범죄, 액션 ",범죄,2014
128,129,스캔들-조선남녀상열지사,2003.10.2,,3522747,76,씨제이이엔엠,이재용,"['배용준', '전도연', '이미숙', '이소연', '이미지', '이영실']",['조현재'],,['영화사봄'], 사극 ,사극,2003
129,130,가문의 부활 - 가문의 영광3,2006.9.21,0,3464516,114,쇼박스,정용기,"['신현준', '김원희', '김수미', '탁재훈', '이승철']","['김도연', '김홍규', '임형준', '공형진', '정준하', '김용건', '김해곤', '신이']",['김응수'],['태원엔터테인먼트'], 코미디 ,코미디,2006
130,131,부러진 화살,2012.1.18,"25,936,754,000",3459780,453,넥스트엔터테인먼트월드(NEW),정지영,"['안성기', '박원상', '나영희', '김지호', '신종훈']","['김준배', '김응수']","['박길수', '한기중']",['아우라픽처스'], 드라마 ,드라마,2012
131,132,끝까지 간다,2014.5.29,"27,007,303,900",3450305,645,쇼박스,김성훈,"['이선균', '조진웅']","['신정근', '정만식', '신동미', '김동영', '박보검', '주석태', '허정은']","['김보경', '김강현', '김해곤']","['에이디사공육 406', '다세포클럽']"," 액션, 스릴러, 범죄 ",액션,2014
132,133,스파이,2013.9.5,"24,509,269,305",3435801,785,씨제이이엔엠,이승준,"['설경구', '문소리', '다니엘헤니', '고창석', '한예리', '오대환']","['라미란', '서승인', '이대수', '이성제', '최승현', '정인기']",,"['제이케이필름', '씨제이이엔엠']", 액션 ,액션,2013
133,134,그것만이 내 세상,2018.1.17,"27,444,525,382",3418043,862,씨제이이엔엠,최성현,"['이병헌', '윤여정', '박정민']","['김성령', '최리', '백현진', '김서원']",['한지민'],"['제이케이필름', '씨제이이엔엠']"," 코미디, 드라마 ",코미디,2018
